ID,ObLophari,Gorki,Azovi,Ovgort,Muzhi,Shurishakri,Pitlyar,ObPitlyar,Katrovozh,ObKatrovozh,Salehard,Labytnagi,Harsaim,Aksarka,Beloyarsk,ObBeloyarsk,Salemal,ObBeloyarsk_2,Panaevsk,Kutopugan,ObKutopugan,YarSale,ObYarSale,Nyda,ObYarSale_2,NewPort,ObNyda,MysKamenniy,Nahodka,Antipauta,ObAntipauta,ObMuzhi,Schuchie,ZeleniyYar,Samburg,SunaySale,Nori,Seyaha,ObSeyaha,Vosyahovo,ObVosyahovo,Lophari
Labytnagi,186954.771575204,184937.778784832,205367.941291799,233095.844254142,160473.410122378,97397.4431849848,92773.4909521575,65548.0775266044,40002.7819493556,39006.9414280592,8642.14766877843,0,33336.9371545996,57954.8729522946,75337.0702628,40392.1729488553,118565.176289409,94990.6312481668,157963.557470994,175599.001172046,164368.913697051,192029.871732658,166385.49307834,281663.739850541,225481.600033835,302445.504468854,249374.363954932,364299.816174162,491492.031926021,508896.738793222,404260.821930779,174883.694884636,115717.642143997,56862.2512745815,514545.178398363,211977.771117055,253378.16245679,462494.953057936,473536.023792816,146009.42880702,150651.287247756,187624.623096535
Harsaim,192349.240387359,193923.066838731,214690.264526075,248243.445574154,176475.424090725,115513.396071097,103793.25259291,84864.0305337815,60264.3384915853,57993.4580078062,31568.343589862,33336.9371545996,0,24632.1036740176,46881.132735087,11028.4755366357,86812.1974035605,63589.9940419411,125854.314594754,142272.308864426,131052.039718119,160158.631025207,133723.13849269,249020.270073334,193784.485662047,275202.206220682,216683.329411255,341502.296228902,462064.716514637,485878.14597263,383247.29053312,188531.742504437,94913.6643675553,31736.6423541079,482869.474750355,180528.930342539,220042.431269148,451385.857776328,461330.025372634,164909.221594866,168260.07609137,192307.168298708
Aksarka,200862.882536527,204806.935101559,225503.451529726,262496.436838751,192026.901581866,133460.981929378,118322.808675124,104427.810648425,81493.2255180701,78944.3217927333,55875.6722297389,57954.8729522946,24632.1036740176,0,31469.0839476309,20341.2382860487,63888.6147383703,41686.9364229006,102254.922108292,117717.937214435,106420.458392205,136671.749034313,109579.766560264,224794.67936183,170373.979623752,255305.298379603,192437.354924917,324971.559927285,440141.352935229,468837.854084028,367990.182674503,202474.052685589,83798.0104888681,29163.635505241,459267.612419635,157363.499978172,195427.899350044,443544.705731043,452625.548777177,182318.284695283,184878.563086047,200336.21836725
Beloyarsk,232329.622384796,236097.639575622,256816.934241613,293034.764689964,221977.662144787,161980.149694288,148525.86740682,131672.18638775,107125.082102259,104873.242091576,76544.6971596366,75337.0702628,46881.132735087,31469.0839476309,0,36433.8168174256,45648.1434264901,22986.554794901,84832.4240945342,112175.904891708,98815.6365586487,118033.76406303,94858.8921228716,208941.499478999,151059.645550201,228435.386327382,176980.258377253,295158.641660898,416286.257274303,439377.295039572,337539.059358375,233062.366427587,52411.1932775099,60585.0650511077,439759.474547651,137315.240184092,186744.78788503,412245.329714575,421221.585801213,211262.281177641,214288.756268202,231804.596332218
ObBeloyarsk,202833.96099654,204708.690149437,225479.332882976,259263.30735697,187503.056582817,126459.076030533,114790.260699451,95664.3869388126,70802.0593242403,68617.15599662,40423.3137979412,40392.1729488553,11028.4755366357,20341.2382860487,36433.8168174256,0,78204.0093880921,54673.1085232706,117574.511496793,136877.319771352,125045.250606147,151677.613568847,126063.043598804,241308.453512484,185177.003829933,264867.976621243,209037.445808968,330593.698752842,452374.998852994,475002.610357425,372251.484499594,199535.575232491,83890.684872771,37801.7266249088,474277.0748603,171743.232727476,214178.656041011,440759.69056501,450602.392047869,175868.410695018,179263.065168739,202718.41161278
Salemal,252437.513537301,259513.459876895,279766.866049119,320642.425544793,252161.414190575,196011.112889463,178686.062951592,167940.407059201,145380.203196082,142821.498736957,118260.286065662,118565.176289409,86812.1974035605,63888.6147383703,45648.1434264901,78204.0093880921,0,23623.2853222751,39503.8930621639,70284.3212853626,56082.5536278128,73473.8586879255,49218.5832183408,163619.004063466,107013.388078186,193432.082656433,131524.804880306,267999.084281774,376332.231276963,410347.884746538,313028.519689152,260856.368434459,59738.5631625763,86575.1010694557,396125.297550264,93718.1502444007,141856.140515299,403353.741854201,410427.029217853,244125.800419611,246032.00782455,251228.352832089
ObBeloyarsk_2,237155.310564812,242834.477206886,263343.288220894,302367.78651157,232727.370757117,175011.859241006,158997.114227425,146109.487640008,122882.361695789,120396.893233767,94887.510027166,94990.6312481668,63589.9940419411,41686.9364229006,22986.554794901,54673.1085232706,23623.2853222751,0,63121.8297207283,89369.7362268399,75883.2766941179,97043.3360725676,72433.3319805272,187197.936767582,130506.070288752,213713.917564874,155059.593264467,284966.825656004,398734.737879609,428345.711022917,328866.460302158,242381.047917433,55941.695464225,67196.7522843701,419604.034524717,117083.162648355,163787.648478657,411868.022664272,419886.373621135,223670.615626776,225993.283327659,236241.312176563
Panaevsk,279872.217753929,288909.150090166,308639.632596571,352018.554226112,285549.069148729,231856.630341713,212927.853489846,205014.501814335,183387.818806209,180750.468057263,157397.876522979,157963.557470994,125854.314594754,102254.922108292,84832.4240945342,117574.511496793,39503.8930621639,63121.8297207283,0,47337.255597573,34574.5385518422,34432.8920045575,13096.2791280033,124154.013335545,68146.6742682591,162255.242975118,92147.9958827509,242982.087395015,339639.250842516,382389.090941084,289811.017192781,292827.786882201,83156.7627191246,121973.463561148,357055.460800994,55460.7147279966,106258.334563855,392924.229104734,398270.59018544,278994.434085882,280305.613473873,278246.297721657
Kutopugan,263138.199742753,275100.688187184,293592.409635316,340626.454265437,279233.25669755,232566.60452418,210424.153320356,210023.294700818,192319.116765973,189496.587314753,172765.495793063,175599.001172046,142272.308864426,117717.937214435,112175.904891708,136877.319771352,70284.3212853626,89369.7362268399,47337.255597573,0,14424.2467354641,56125.3328916991,35788.1974298908,116236.577004321,79667.7722238597,186760.505380295,85397.5157615942,273795.725677954,347160.822213546,407632.322457355,321928.446741626,283525.701908656,126224.482805834,127598.864450925,352952.383871942,73624.291086838,78040.2121794303,434460.826832912,438742.478203533,276125.347926992,276028.603057421,260919.013665029
ObKutopugan,261664.441134826,272695.995810384,291640.784206558,337603.071732006,274513.745532224,225681.730400464,204331.87126812,201898.101936671,183124.057011767,180330.045516044,161991.17544934,164368.913697051,131052.039718119,106420.458392205,98815.6365586487,125045.250606147,56082.5536278128,75883.2766941179,34574.5385518422,14424.2467354641,0,50741.7141891839,24761.9487265387,122289.500800588,78926.7226395166,183745.097639554,90436.6767241078,268938.603720981,350042.451327221,404952.7801341,316684.227261353,279721.453292355,111835.817824003,118648.471213492,359182.168564078,70575.4641938678,89133.4407948906,425433.340378242,430212.620295407,270392.477561711,270700.770040044,259638.762623071
YarSale,310123.671752626,320124.447412689,339524.748248961,384044.137406587,318594.183028387,265846.713891479,246442.56393794,239319.446560684,217814.562998051,215173.184938741,191670.833021892,192029.871732658,160158.631025207,136671.749034313,118033.76406303,151677.613568847,73473.8586879255,97043.3360725676,34432.8920045575,56125.3328916991,50741.7141891839,0,30331.0092394378,91499.0508401152,33713.8537162662,133234.329726807,60447.0759798359,218327.722156213,305797.89647178,354416.531117577,266228.542120823,325251.057926743,106877.25165483,156074.09145043,322710.925262603,21519.0598421109,84326.4316655542,379423.982581737,383255.291187732,312615.775577303,313707.487762919,308286.46646251
ObYarSale,279909.762772948,289804.083351187,309231.669709059,353725.973374801,288496.118981831,236474.160643448,216623.789718878,210610.951194148,189852.246167755,187153.437867568,165274.556051346,166385.49307834,133723.13849269,109579.766560264,94858.8921228716,126063.043598804,49218.5832183408,72433.3319805272,13096.2791280033,35788.1974298908,24761.9487265387,30331.0092394378,0,115305.508460427,62869.025085564,162812.734690101,82991.5120775312,246120.047435496,335623.886856316,383785.042602597,293527.050197615,294984.739195838,96181.0800706616,127045.190506564,350114.970915591,51767.3585701563,93903.4131602535,400688.225537881,405533.800134167,282838.634599844,283782.004726315,278108.377820162
Nyda,376903.943618927,389954.705213567,407864.899706398,455945.892622407,395454.085024815,347959.022386339,326357.997384732,323932.281165157,304304.552224373,301556.129329473,280561.463703599,281663.739850541,249020.270073334,224794.67936183,208941.499478999,241308.453512484,163619.004063466,187197.936767582,124154.013335545,116236.577004321,122289.500800588,91499.0508401152,115305.508460427,0,61490.4475638021,114906.543880926,32364.7670828166,204244.329166758,234264.584240028,317001.002300452,251870.445157588,399458.020983403,196034.994772424,240386.87114857,236939.618164492,75508.0473928532,56646.3252700721,391740.990007103,391037.084636527,392236.388201961,392239.003320622,374421.847436793
